run_id,model,condition,example_id,challenge_type,field,field_status,gold_value,predicted_value,gold_norm,pred_norm,is_correct,is_false_fill,is_correct_null,predicted_null,is_distractor_error,parse_success,schema_valid
2026-07-03-main,LiquidAI/LFM2.5-230M,C0,SASS_000003,AMBIGUOUS,event_name,AMBIGUOUS,null,"""General after-school activity""",null,"""general after-school activity""",0,1,0,0,0,1,0
2026-07-03-main,LiquidAI/LFM2.5-230M,C0,SASS_000004,CONTRADICTORY,event_date,CONTRADICTORY,null,"""2026-04-22""",null,"""2026-04-22""",0,1,0,0,0,1,0
2026-07-03-main,LiquidAI/LFM2.5-230M,C0,SASS_000008,AMBIGUOUS,city,AMBIGUOUS,null,"""nearby city""",null,"""nearby city""",0,1,0,0,0,1,0
2026-07-03-main,LiquidAI/LFM2.5-230M,C0,SASS_000009,CONTRADICTORY,event_name,CONTRADICTORY,null,"""storytelling session""",null,"""storytelling session""",0,1,0,0,0,1,0
2026-07-03-main,LiquidAI/LFM2.5-230M,C0,SASS_000013,AMBIGUOUS,event_name,AMBIGUOUS,null,"""General after-school activity""",null,"""general after-school activity""",0,1,0,0,0,1,0
2026-07-03-main,LiquidAI/LFM2.5-230M,C0,SASS_000014,CONTRADICTORY,target_age,CONTRADICTORY,null,"""18""",null,18,0,1,0,0,0,1,0
2026-07-03-main,LiquidAI/LFM2.5-230M,C0,SASS_000017,MISSING,event_name,MISSING,null,"""activity in Zurich""",null,"""activity in zurich""",0,1,0,0,0,1,0
2026-07-03-main,LiquidAI/LFM2.5-230M,C0,SASS_000018,AMBIGUOUS,target_age,AMBIGUOUS,null,"""13""",null,13,0,1,0,0,0,1,0
2026-07-03-main,LiquidAI/LFM2.5-230M,C0,SASS_000019,CONTRADICTORY,event_date,CONTRADICTORY,null,"""2026-07-19""",null,"""2026-07-19""",0,1,0,0,0,1,0
2026-07-03-main,LiquidAI/LFM2.5-230M,C0,SASS_000023,AMBIGUOUS,city,AMBIGUOUS,null,"""nearby city""",null,"""nearby city""",0,1,0,0,0,1,0
2026-07-03-main,LiquidAI/LFM2.5-230M,C0,SASS_000024,CONTRADICTORY,event_name,CONTRADICTORY,null,"""chess seminar""",null,"""chess seminar""",0,1,0,0,0,1,0
2026-07-03-main,LiquidAI/LFM2.5-230M,C0,SASS_000027,MISSING,event_name,MISSING,null,"""Ghent""",null,"""ghent""",0,1,0,0,0,1,0
2026-07-03-main,LiquidAI/LFM2.5-230M,C0,SASS_000028,AMBIGUOUS,event_name,AMBIGUOUS,null,"""General after-school activity""",null,"""general after-school activity""",0,1,0,0,0,1,0
2026-07-03-main,LiquidAI/LFM2.5-230M,C0,SASS_000029,CONTRADICTORY,event_date,CONTRADICTORY,null,"""2026-10-19""",null,"""2026-10-19""",0,1,0,0,0,1,0
2026-07-03-main,LiquidAI/LFM2.5-230M,C0,SASS_000033,AMBIGUOUS,event_date,AMBIGUOUS,null,"""early 2026""",null,"""early 2026""",0,1,0,0,0,1,0
2026-07-03-main,LiquidAI/LFM2.5-230M,C0,SASS_000034,CONTRADICTORY,city,CONTRADICTORY,null,"""Helsinki""",null,"""helsinki""",0,1,0,0,0,1,0
2026-07-03-main,LiquidAI/LFM2.5-230M,C0,SASS_000038,AMBIGUOUS,target_age,AMBIGUOUS,null,"""teenager""",null,"""teenager""",0,1,0,0,0,1,0
2026-07-03-main,LiquidAI/LFM2.5-230M,C0,SASS_000039,CONTRADICTORY,event_date,CONTRADICTORY,null,"""2026-08-08""",null,"""2026-08-08""",0,1,0,0,0,1,0
2026-07-03-main,LiquidAI/LFM2.5-230M,C0,SASS_000043,AMBIGUOUS,target_age,AMBIGUOUS,null,"""10""",null,10,0,1,0,0,0,1,0
2026-07-03-main,LiquidAI/LFM2.5-230M,C0,SASS_000044,CONTRADICTORY,target_age,CONTRADICTORY,null,"""15""",null,15,0,1,0,0,0,1,0
2026-07-03-main,LiquidAI/LFM2.5-230M,C0,SASS_000047,MISSING,event_date,MISSING,null,"""[UNKNOWN]""",null,"""[unknown]""",0,1,0,0,0,1,0
2026-07-03-main,LiquidAI/LFM2.5-230M,C0,SASS_000048,AMBIGUOUS,target_age,AMBIGUOUS,null,"""teenager""",null,"""teenager""",0,1,0,0,0,1,0
2026-07-03-main,LiquidAI/LFM2.5-230M,C0,SASS_000049,CONTRADICTORY,event_name,CONTRADICTORY,null,"""mural design workshop""",null,"""mural design workshop""",0,1,0,0,0,1,0
2026-07-03-main,LiquidAI/LFM2.5-230M,C0,SASS_000053,AMBIGUOUS,event_name,AMBIGUOUS,null,"""General after-school activity""",null,"""general after-school activity""",0,1,0,0,0,1,0
2026-07-03-main,LiquidAI/LFM2.5-230M,C0,SASS_000054,CONTRADICTORY,city,CONTRADICTORY,null,"""Ghent""",null,"""ghent""",0,1,0,0,0,1,0
2026-07-03-main,LiquidAI/LFM2.5-230M,C0,SASS_000058,AMBIGUOUS,target_age,AMBIGUOUS,null,"""13""",null,13,0,1,0,0,0,1,0
2026-07-03-main,LiquidAI/LFM2.5-230M,C0,SASS_000059,CONTRADICTORY,event_name,CONTRADICTORY,null,"""coding circle""",null,"""coding circle""",0,1,0,0,0,1,0
2026-07-03-main,LiquidAI/LFM2.5-230M,C0,SASS_000063,AMBIGUOUS,event_name,AMBIGUOUS,null,"""General after-school activity""",null,"""general after-school activity""",0,1,0,0,0,1,0
2026-07-03-main,LiquidAI/LFM2.5-230M,C0,SASS_000064,CONTRADICTORY,city,CONTRADICTORY,null,"""Dublin""",null,"""dublin""",0,1,0,0,0,1,0
2026-07-03-main,LiquidAI/LFM2.5-230M,C0,SASS_000068,AMBIGUOUS,event_date,AMBIGUOUS,null,"""early 2026""",null,"""early 2026""",0,1,0,0,0,1,0
2026-07-03-main,LiquidAI/LFM2.5-230M,C0,SASS_000069,CONTRADICTORY,target_age,CONTRADICTORY,null,"""14""",null,14,0,1,0,0,0,1,0
2026-07-03-main,LiquidAI/LFM2.5-230M,C0,SASS_000073,AMBIGUOUS,event_date,AMBIGUOUS,null,"""early 2026""",null,"""early 2026""",0,1,0,0,0,1,0
2026-07-03-main,LiquidAI/LFM2.5-230M,C0,SASS_000074,CONTRADICTORY,event_date,CONTRADICTORY,null,"""2026-02-26""",null,"""2026-02-26""",0,1,0,0,0,1,0
2026-07-03-main,LiquidAI/LFM2.5-230M,C0,SASS_000078,AMBIGUOUS,event_date,AMBIGUOUS,null,"""early 2026""",null,"""early 2026""",0,1,0,0,0,1,0
2026-07-03-main,LiquidAI/LFM2.5-230M,C0,SASS_000079,CONTRADICTORY,event_name,CONTRADICTORY,null,"""coding circle""",null,"""coding circle""",0,1,0,0,0,1,0
